bucket,N,S,period
2023-09-13,11,0.42001753449440005,pre
2023-09-14,11,0.4945639491081238,pre
2023-09-15,3,0.3975599408149719,pre
2023-09-17,1,,pre
2023-09-18,25,0.5910317947467169,pre
2023-09-19,2,0.3566756248474121,pre
2023-09-20,1,,pre
2023-09-21,7,0.5222157835960388,pre
2023-09-22,3,0.4221310317516327,pre
2023-09-24,1,,pre
2023-09-25,3,0.4365738332271576,pre
2023-09-26,11,0.7127582728862762,pre
2023-09-27,3,0.4242708086967468,pre
2023-09-29,1,,pre
2023-10-04,18,0.6794209901024314,pre
2023-10-05,4,0.44179121653238934,pre
2023-10-06,1,,pre
2023-10-10,2,0.29736804962158203,pre
2023-10-11,3,0.45022618770599365,pre
2023-10-12,4,0.43694718678792316,pre
2023-10-13,9,0.7648804411292076,pre
2023-10-15,6,0.7931557655334472,pre
2023-10-17,23,0.7095013531771573,pre
2023-10-18,6,0.5053586006164551,pre
2023-10-19,4,0.4817287127176921,pre
2023-10-20,4,0.3457544644673665,pre
2023-10-23,9,0.5930337235331535,pre
2023-10-24,5,0.35871005058288574,pre
2023-10-25,9,0.6155944541096687,pre
2023-10-26,5,0.7191102802753448,pre
2023-10-27,1,,pre
2023-10-30,12,0.8142592690207742,pre
2023-10-31,2,0.3595011234283447,pre
2023-11-01,15,0.5510380608694894,pre
2023-11-02,2,0.2672276496887207,pre
2023-11-03,18,0.82677801917581,pre
2023-11-05,4,0.552327553431193,pre
2023-11-06,8,0.6258352824619838,pre
2023-11-07,2,0.23693323135375977,pre
2023-11-09,7,0.7547049721082052,pre
2023-11-10,12,0.8325023217634722,pre
2023-11-13,29,0.5116990719522748,pre
2023-11-14,1,,pre
2023-11-15,82,0.5665244349726924,pre
2023-11-16,14,0.5894639400335459,pre
2023-11-17,24,0.5721826553344727,pre
2023-11-19,3,0.37652158737182617,pre
2023-11-20,4,0.4414825439453125,pre
2023-11-21,2,0.3773691654205322,pre
2023-11-22,9,0.6536836996674538,pre
2023-11-23,32,0.6102104187011719,pre
2023-11-24,3,0.702541321516037,pre
2023-11-26,1,,pre
2023-11-28,3,0.7667012810707092,pre
2023-11-29,3,0.4788668155670166,pre
2023-11-30,10,0.9079979128307767,pre
2023-12-01,24,0.6558603618455969,pre
2023-12-03,1,,pre
2023-12-04,1,,pre
2023-12-05,2,0.33209967613220215,pre
2023-12-06,29,0.5788578923259463,pre
2023-12-07,39,0.5663596642644781,pre
2023-12-08,27,0.4786860209244948,pre
2023-12-09,1,,pre
2023-12-10,1,,pre
2023-12-11,4,0.30921828746795654,pre
2023-12-12,36,0.41533679962158204,pre
2023-12-13,31,0.5340960343678792,pre
2023-12-14,5,0.34391357004642487,pre
2023-12-15,6,0.6275137662887573,pre
2023-12-16,1,,pre
2023-12-17,1,,pre
2023-12-18,14,0.5178421919162457,pre
2023-12-19,6,0.40240204334259033,pre
2023-12-20,4,0.49798790613810223,pre
2023-12-21,9,0.5397234782576561,pre
2023-12-22,24,0.6157296636830205,pre
2023-12-23,2,0.7802510261535645,pre
2023-12-25,2,0.45922625064849854,pre
2023-12-26,2,0.40206384658813477,pre
2023-12-27,1,,pre
2023-12-29,1,,pre
2024-01-03,3,0.35712823271751404,pre
2024-01-04,6,0.46014277935028075,pre
2024-01-05,1,,pre
2024-01-08,10,0.5857893096076118,pre
2024-01-09,3,0.325680136680603,pre
2024-01-11,6,0.43851137161254883,pre
2024-01-12,15,0.6636707867894854,pre
2024-01-13,2,0.3065379858016968,pre
2024-01-14,4,0.8907947540283203,pre
2024-01-15,4,0.3686364491780599,pre
2024-01-16,1,,pre
2024-01-17,3,0.3762585520744324,pre
2024-01-18,1,,pre
2024-01-19,11,0.6047923386096954,pre
2024-01-20,2,0.36840391159057617,pre
2024-01-21,2,0.37879860401153564,pre
2024-01-22,4,0.4459493160247803,pre
2024-01-23,1,,pre
2024-01-25,3,0.37378036975860596,pre
2024-01-26,3,0.8014518022537231,pre
2024-01-27,1,,pre
2024-01-29,1,,pre
2024-01-30,2,0.2561221122741699,pre
2024-01-31,3,0.8802593052387238,pre
2024-02-01,1,,pre
2024-02-02,2,0.08927404880523682,pre
2024-02-05,12,0.5679989944804799,pre
2024-02-06,8,0.4763428824288504,pre
2024-02-07,8,0.5004145758492606,pre
2024-02-13,3,0.3559335768222809,pre
2024-02-14,2,0.594165563583374,pre
2024-02-16,1,,pre
2024-02-19,3,0.49401772022247314,pre
2024-02-20,32,0.5219785628780242,pre
2024-02-21,46,0.5283783170912001,pre
2024-02-22,7,0.5072095990180969,pre
2024-02-23,20,0.6154475212097168,pre
2024-02-24,4,0.589165210723877,pre
2024-02-25,10,0.6829720338185629,pre
2024-02-26,14,0.46856279556567854,pre
2024-02-27,67,0.5431815882523855,pre
2024-02-28,24,0.5431715094524882,pre
2024-02-29,7,0.5077670216560364,pre
2024-03-01,3,0.3133569061756134,pre
2024-03-03,3,0.4783889353275299,pre
2024-03-04,39,0.46612782384219925,pre
2024-03-05,19,0.5104581713676453,pre
2024-03-06,28,0.4411872051380299,pre
2024-03-07,25,0.5074395090341568,pre
2024-03-08,13,0.4298665126164754,pre
2024-03-09,3,0.40531402826309204,pre
2024-03-10,2,0.3397696018218994,pre
2024-03-11,5,0.3823520839214325,pre
2024-03-12,13,0.342028371989727,pre
2024-03-13,14,0.5162003498810989,pre
2024-03-14,23,0.46859906207431445,pre
2024-03-15,53,0.5666503688463798,pre
2024-03-16,7,0.5434333086013794,pre
2024-03-17,4,0.33144112428029376,pre
2024-03-18,21,0.46338506042957306,pre
2024-03-19,155,0.5341439061350637,pre
2024-03-20,38,0.5205476928401638,pre
2024-03-21,28,0.5731686662744593,pre
2024-03-22,27,0.5596779218086829,pre
2024-03-23,1,,pre
2024-03-24,8,0.5490907260349819,pre
2024-03-25,39,0.49553652813560084,pre
2024-03-26,25,0.4678097777068615,pre
2024-03-27,35,0.5077366863980013,pre
2024-03-28,17,0.4666088782250881,pre
2024-03-29,74,0.547466758179338,pre
2024-03-30,4,0.5545668601989746,pre
2024-03-31,3,0.42452624440193176,pre
2024-04-01,42,0.5909299792312994,pre
2024-04-02,21,0.5663386225700379,pre
2024-04-03,5,0.48721766471862793,pre
2024-04-04,22,0.48859845456622897,pre
2024-04-05,2,0.46132469177246094,pre
2024-04-06,2,0.4104321002960205,pre
2024-04-07,3,0.3739190399646759,pre
2024-04-08,44,0.6780397559321204,pre
2024-04-09,87,0.5928413805573486,pre
2024-04-10,10,0.5206695132785373,pre
2024-04-11,21,0.6131994247436523,pre
2024-04-12,8,0.42487103598458426,pre
2024-04-14,2,0.37217092514038086,pre
2024-04-15,45,0.7479457475922324,pre
2024-04-16,11,0.5100641965866088,pre
2024-04-17,30,0.5681544830059183,pre
2024-04-18,30,0.5211360988945797,pre
2024-04-19,9,0.44771116971969604,pre
2024-04-20,1,,pre
2024-04-21,22,0.8157766546521869,pre
2024-04-22,33,0.5263483691960573,pre
2024-04-23,21,0.6160785794258118,pre
2024-04-24,32,0.5551171456613848,pre
2024-04-25,28,0.45009975521652784,pre
2024-04-26,4,0.4759950637817383,pre
2024-04-29,1,,pre
2024-04-30,2,0.3294093608856201,pre
2024-05-01,1,,pre
2024-05-02,27,0.7640341474459722,pre
2024-05-03,70,0.6441142714541891,pre
2024-05-04,15,0.7414418203490121,pre
2024-05-05,6,0.7132900953292847,pre
2024-05-06,9,0.6847218871116638,pre
2024-05-07,37,0.608254161145952,pre
2024-05-08,40,0.6119531607016538,pre
2024-05-10,4,0.5066703955332438,pre
2024-05-11,15,0.5100255523409162,pre
2024-05-12,36,0.8161320890699114,pre
2024-05-13,23,0.515012421391227,pre
2024-05-14,18,0.5646113998749677,pre
2024-05-15,11,0.5980119228363037,pre
2024-05-16,13,0.42924455801645917,pre
2024-05-17,38,0.4980595369596739,pre
2024-05-18,10,0.5823929044935439,pre
2024-05-19,7,0.4858294228712718,pre
2024-05-20,68,0.5481231959898081,pre
2024-05-21,18,0.5382412461673513,pre
2024-05-22,20,0.6351528795141923,pre
2024-05-23,8,0.4314588819231306,pre
2024-05-24,33,0.8596454672515392,pre
2024-05-25,3,0.6000804901123047,pre
2024-05-26,1,,pre
2024-05-27,51,0.6807644164562225,pre
2024-05-28,2,0.8166306018829346,pre
2024-05-29,3,0.44510987401008606,pre
2024-05-30,2,0.39597177505493164,pre
2024-05-31,1,,pre
2024-06-02,12,0.7399410117756237,pre
2024-06-03,7,0.4658351540565491,pre
2024-06-04,18,0.8342254722819609,pre
2024-06-06,2,0.28992176055908203,pre
2024-06-07,7,0.48045692841211957,pre
2024-06-09,1,,pre
2024-06-10,1,,pre
2024-06-11,12,0.5701052925803445,pre
2024-06-12,2,0.43597960472106934,pre
2024-06-13,19,0.5611092117097642,pre
2024-06-14,4,0.45012903213500977,pre
2024-06-16,2,0.719761848449707,pre
2024-06-17,45,0.5221789723092859,pre
2024-06-18,5,0.40790653228759766,pre
2024-06-19,6,0.4493989944458008,pre
2024-06-20,62,0.6645450474785977,pre
2024-06-21,51,0.6119754004478455,pre
2024-06-22,3,0.47954291105270386,pre
2024-06-23,5,0.7583391517400742,pre
2024-06-24,38,0.6372413635253906,pre
2024-06-25,14,0.6245164137620193,pre
2024-06-26,2,0.3510880470275879,pre
2024-06-27,2,0.45681023597717285,pre
2024-06-28,26,0.7169596195220947,pre
2024-06-29,2,0.7518130540847778,pre
2024-06-30,3,0.5990846753120422,pre
2024-07-01,31,0.7409743169943491,pre
2024-07-02,5,0.6308712661266327,pre
2024-07-03,64,0.6608775305369544,pre
2024-07-04,38,0.5171258642866805,pre
2024-07-05,5,0.3896356225013733,pre
2024-07-06,1,,pre
2024-07-08,1,,pre
2024-07-09,17,0.4402586854994297,pre
2024-07-10,8,0.5108761787414551,pre
2024-07-11,6,0.41613895893096925,pre
2024-07-12,28,0.5876235785307707,pre
2024-07-13,1,,pre
2024-07-14,14,0.7848934026864859,pre
2024-07-15,27,0.5870004296302795,pre
2024-07-16,14,0.6203868389129639,pre
2024-07-17,4,0.43439586957295734,pre
2024-07-18,4,0.41309579213460285,pre
2024-07-19,20,0.6352577209472656,pre
2024-07-20,1,,pre
2024-07-21,10,0.4899178875817193,pre
2024-07-22,9,0.4896860644221306,pre
2024-07-24,3,0.35630863904953003,pre
2024-07-25,1,,pre
2024-07-26,3,0.3877769410610199,pre
2024-07-27,1,,pre
2024-07-28,3,0.5154790580272675,pre
2024-07-29,54,0.6574580017125832,pre
2024-07-30,41,0.6305411636829377,pre
2024-07-31,55,0.5913273923926883,pre
2024-08-01,13,0.5481632202863693,pre
2024-08-02,1,,pre
2024-08-04,2,0.7438750267028809,pre
2024-08-05,47,0.6862435859182606,pre
2024-08-06,3,0.5753032267093658,pre
2024-08-07,104,0.7420031491992543,pre
2024-08-08,48,0.6086137649860788,pre
2024-08-09,44,0.6155370557030966,pre
2024-08-10,4,0.36688439051310223,pre
2024-08-11,1,,pre
2024-08-12,51,0.7944738924503326,pre
2024-08-13,5,0.3338097631931305,pre
2024-08-14,46,0.8146755139033,pre
2024-08-15,1,,pre
2024-08-16,6,0.44577085971832275,pre
2024-08-19,8,0.49611847741263254,pre
2024-08-20,3,0.4828864634037018,pre
2024-08-22,2,0.3570103645324707,pre
2024-08-23,1,,pre
2024-08-26,3,0.4052261412143707,pre
2024-08-27,3,0.3838372230529785,pre
2024-08-28,84,0.507596544472568,pre
2024-08-29,49,0.5697287619113922,pre
2024-08-30,7,0.44002751509348553,pre
2024-09-01,1,,pre
2024-09-02,7,0.3997117628653844,pre
2024-09-03,80,0.5771597608735289,pre
2024-09-04,60,0.5821237159987628,pre
2024-09-05,30,0.4153043319439066,pre
2024-09-06,60,0.7704892239328158,pre
2024-09-07,3,0.714947521686554,pre
2024-09-08,4,0.7984517415364584,pre
2024-09-09,71,0.7745851721082415,pre
2024-09-10,11,0.48885401487350466,pre
2024-09-11,12,0.5278305573896929,pre
2024-09-12,72,0.5379471711709466,pre
2024-09-13,366,0.5469901744633505,post
2024-09-14,17,0.5016339421272278,post
2024-09-15,3,0.495661199092865,post
2024-09-16,35,0.5832832595881294,post
2024-09-17,41,0.5365358769893647,post
2024-09-18,207,0.5298559144862647,post
2024-09-19,151,0.480929399728775,post
2024-09-20,7,0.4237196346124013,post
2024-09-21,8,0.49149138586861746,post
2024-09-22,50,0.46842518996219246,post
2024-09-23,152,0.4586452364132104,post
2024-09-24,47,0.4504599914602611,post
2024-09-25,7,0.47615018486976624,post
2024-09-26,17,0.4501793831586838,post
2024-09-27,22,0.4705176580519903,post
2024-09-28,34,0.47146294694958313,post
2024-09-29,47,0.459589844164641,post
2024-09-30,8,0.5296568189348493,post
2024-10-01,54,0.5569426338627653,post
2024-10-02,33,0.5439045950770378,post
2024-10-03,44,0.5108064607132313,post
2024-10-04,15,0.5217593227113996,post
2024-10-05,19,0.4884338544474708,post
2024-10-06,7,0.4312346875667572,post
2024-10-07,8,0.385354825428554,post
2024-10-08,23,0.5478111180392179,post
2024-10-09,82,0.6120329418300111,post
2024-10-10,3,0.49801939725875854,post
2024-10-11,27,0.5099496428783123,post
2024-10-12,75,0.5936628531765293,post
2024-10-13,116,0.5127297961193582,post
2024-10-14,8,0.7026632853916713,post
2024-10-15,44,0.5095377910968869,post
2024-10-16,22,0.5027871813092913,post
2024-10-17,6,0.48428730964660643,post
2024-10-18,21,0.4922432601451874,post
2024-10-19,3,0.5585668683052063,post
2024-10-20,8,0.5455655370439801,post
2024-10-21,51,0.5638226211071015,post
2024-10-22,128,0.509873878298782,post
2024-10-23,88,0.5535838412142348,post
2024-10-24,175,0.44399721149740545,post
2024-10-25,7,0.39504268765449524,post
2024-10-26,10,0.5025093025631375,post
2024-10-27,51,0.43943450212478635,post
2024-10-28,324,0.4992152212574017,post
2024-10-29,131,0.5329848051071167,post
2024-10-30,185,0.5283338848663413,post
2024-10-31,176,0.5240437643868583,post
2024-11-01,8,0.4923778942653111,post
2024-11-02,4,0.33647672335306805,post
2024-11-03,46,0.5197161356608073,post
2024-11-04,132,0.49492234401120483,post
2024-11-05,34,0.46074718417543353,post
2024-11-06,7,0.5286869903405508,post
2024-11-07,12,0.49026981267062103,post
2024-11-08,18,0.45061253098880544,post
2024-11-09,30,0.6677727123786663,post
2024-11-10,21,0.5372074902057647,post
2024-11-11,39,0.599724071590524,post
2024-11-12,7,0.4203708569208781,post
2024-11-13,45,0.5517482540824197,post
2024-11-14,17,0.4445178769528866,post
2024-11-15,27,0.4838585165830759,post
2024-11-16,2,0.5094509124755859,post
2024-11-17,4,0.37446165084838867,post
2024-11-18,13,0.6819198777278265,post
2024-11-19,5,0.38439473509788513,post
2024-11-20,6,0.643169355392456,post
2024-11-21,24,0.5746168882950492,post
2024-11-22,32,0.49838176850349675,post
2024-11-23,5,0.4802946597337723,post
2024-11-24,37,0.673991150326199,post
2024-11-25,18,0.5307805397931267,post
2024-11-26,29,0.4752874267952783,post
2024-11-27,4,0.4875677426656087,post
2024-11-28,116,0.4502152795376985,post
2024-11-29,24,0.6697365719339122,post
2024-11-30,11,0.4957587420940399,post
2024-12-01,47,0.5869547439658124,post
2024-12-02,10,0.4573657380210029,post
2024-12-03,5,0.5647192001342773,post
2024-12-04,14,0.5659269552964431,post
2024-12-05,9,0.4892081618309021,post
2024-12-06,1,,post
2024-12-07,6,0.40553486347198486,post
2024-12-08,14,0.44700484092418963,post
2024-12-09,104,0.49101199918580285,post
2024-12-10,66,0.5141549752308772,post
2024-12-11,111,0.5505242044275457,post
2024-12-12,18,0.431651490576127,post
2024-12-13,40,0.5649841504219251,post
2024-12-14,6,0.46217832565307615,post
2024-12-15,55,0.7353812831419485,post
2024-12-16,90,0.5039325550700842,post
2024-12-17,21,0.5319214463233948,post
2024-12-18,55,0.4910172069514239,post
2024-12-19,114,0.558846056988809,post
2024-12-20,60,0.4945413177296267,post
2024-12-21,8,0.47540255955287386,post
2024-12-22,28,0.46531752303794577,post
2024-12-23,39,0.5303890344343687,post
2024-12-24,155,0.4969742561315561,post
2024-12-25,10,0.4442904657787747,post
2024-12-26,14,0.5077194250546969,post
2024-12-27,24,0.5486904227215311,post
2024-12-28,8,0.4187659876687186,post
2024-12-29,64,0.5907525562104725,post
2024-12-30,77,0.5717227106031618,post
2024-12-31,12,0.463171048597856,post
2025-01-01,27,0.6396435682590191,post
2025-01-02,5,0.6623106300830841,post
2025-01-03,16,0.5416651407877604,post
2025-01-04,5,0.45337846875190735,post
2025-01-05,45,0.48668834838000213,post
2025-01-06,21,0.48503673672676084,post
2025-01-07,9,0.7273230776190758,post
2025-01-08,59,0.4397096371856229,post
2025-01-09,13,0.42902275423208874,post
2025-01-10,52,0.4595878474852618,post
2025-01-11,6,0.34919713735580443,post
2025-01-12,26,0.48684307098388674,post
2025-01-13,7,0.3573019901911418,post
2025-01-14,27,0.4686357837456923,post
2025-01-15,65,0.4940413534641266,post
2025-01-16,45,0.5077049799940803,post
2025-01-17,30,0.583407003304054,post
2025-01-18,25,0.4801363597313563,post
2025-01-19,103,0.4882098290265775,post
2025-01-20,84,0.4744915272816118,post
2025-01-21,46,0.5594830354054768,post
2025-01-22,39,0.5245624717913175,post
2025-01-23,19,0.49751798311869305,post
2025-01-24,8,0.4700312614440918,post
2025-01-25,7,0.4888562361399333,post
2025-01-26,10,0.4058059983783298,post
2025-01-27,6,0.31962606906890867,post
2025-01-28,4,0.5185654163360596,post
2025-01-29,2,0.5349023342132568,post
2025-01-30,18,0.4971506876104018,post
2025-01-31,245,0.5004458017036563,post
2025-02-01,20,0.46733678642072174,post
2025-02-02,69,0.5673819640103508,post
2025-02-03,151,0.4910941900809606,post
2025-02-04,8,0.4740804263523647,post
2025-02-05,57,0.5748543047479221,post
2025-02-06,16,0.5019770304361979,post
2025-02-07,122,0.44350591030987824,post
2025-02-08,11,0.4663617730140686,post
2025-02-09,31,0.5246722936630249,post
2025-02-10,55,0.5229112936390771,post
2025-02-11,16,0.4028420130411784,post
2025-02-12,86,0.5470852627473719,post
2025-02-13,92,0.5463406568045145,post
2025-02-14,55,0.6018926633728875,post
2025-02-15,11,0.6317260265350342,post
2025-02-16,4,0.49217859903971356,post
2025-02-17,147,0.4497208442181757,post
2025-02-18,121,0.48085523545742037,post
2025-02-19,126,0.4474295892715454,post
2025-02-20,13,0.6139896760384241,post
2025-02-21,45,0.46419104595075955,post
2025-02-22,3,0.38670700788497925,post
2025-02-23,3,0.5036950409412384,post
2025-02-24,25,0.516067902247111,post
2025-02-25,127,0.5724182554653713,post
2025-02-26,9,0.4499101787805557,post
2025-02-27,7,0.46164454023043316,post
2025-02-28,17,0.39115841686725616,post
2025-03-01,5,0.7078824043273926,post
2025-03-02,40,0.6143187620700934,post
2025-03-03,24,0.6426285038823667,post
2025-03-04,26,0.5122149133682251,post
2025-03-05,64,0.46528686039031497,post
2025-03-06,6,0.4291054725646973,post
2025-03-07,52,0.502541700998942,post
2025-03-08,7,0.5275507271289825,post
2025-03-09,15,0.5398357510566711,post
2025-03-10,8,0.49556500571114676,post
2025-03-11,9,0.5166007578372955,post
2025-03-12,44,0.6081836999848832,post
2025-03-13,38,0.6535259936306927,post
2025-03-14,15,0.4659248633044107,post
2025-03-15,6,0.421538782119751,post
2025-03-16,20,0.6473227049175062,post
2025-03-17,68,0.4957093302883319,post
2025-03-18,20,0.5110566992508737,post
2025-03-19,39,0.4886491612384194,post
2025-03-20,36,0.418089941569737,post
2025-03-21,12,0.37843918800354004,post
2025-03-22,8,0.5411096981593541,post
2025-03-23,7,0.47706760962804157,post
2025-03-24,8,0.3952516147068569,post
2025-03-25,6,0.42077789306640623,post
2025-03-26,70,0.5018697303274403,post
2025-03-27,241,0.4831577554345131,post
2025-03-28,215,0.5466501411990584,post
2025-03-29,17,0.5265262797474861,post
2025-03-30,27,0.47094826056407046,post
2025-03-31,91,0.6122758527596791,post
2025-04-01,4,0.6427389780680338,post
2025-04-02,15,0.3928597015993936,post
2025-04-03,21,0.43101678788661957,post
2025-04-04,22,0.61798095703125,post
2025-04-06,20,0.6147429315667403,post
2025-04-07,16,0.5104544957478842,post
2025-04-08,8,0.5910964693341937,post
2025-04-09,28,0.6129780875311958,post
2025-04-10,7,0.42879992723464966,post
2025-04-11,5,0.43358905613422394,post
2025-04-13,1,,post
2025-04-14,54,0.6022169050180687,post
2025-04-15,5,0.3595392256975174,post
2025-04-16,4,0.39690717061360675,post
2025-04-17,9,0.37904688715934753,post
2025-04-18,8,0.3701859882899693,post
2025-04-19,1,,post
2025-04-21,61,0.6807665348052978,post
2025-04-22,24,0.43661992446235987,post
2025-04-23,221,0.6378186943856152,post
2025-04-24,67,0.6850914322968685,post
2025-04-25,62,0.7179549053067067,post
2025-04-26,3,0.4776688516139984,post
2025-04-27,3,0.5809740424156189,post
2025-04-28,66,0.7690509979541486,post
2025-04-29,41,0.7373357832431793,post
2025-04-30,6,0.47743072509765627,post
2025-05-01,1,,post
2025-05-02,3,0.35835427045822144,post
2025-05-06,23,0.8257973112843253,post
2025-05-07,6,0.7073036909103394,post
2025-05-08,70,0.695398375607919,post
2025-05-09,50,0.5294590385592713,post
2025-05-10,1,,post
2025-05-11,23,0.6194834980097684,post
2025-05-12,9,0.650073379278183,post
2025-05-13,20,0.589122220089561,post
2025-05-14,9,0.466582253575325,post
2025-05-15,2,0.3551126718521118,post
2025-05-16,30,0.5827222692555395,post
2025-05-17,11,0.4858516573905945,post
2025-05-18,6,0.5595885038375854,post
2025-05-19,46,0.6834339724646674,post
2025-05-20,6,0.45246186256408694,post
2025-05-21,50,0.7567623245472811,post
2025-05-22,40,0.6063647514734513,post
2025-05-23,29,0.4991408352340971,post
2025-05-24,4,0.6410675048828125,post
2025-05-25,17,0.48952462524175644,post
2025-05-26,12,0.4457455981861461,post
2025-05-27,17,0.5273764841258526,post
2025-05-28,7,0.6182020008563995,post
2025-05-29,4,0.4747896194458008,post
2025-05-30,4,0.6225447654724121,post
2025-05-31,4,0.4393750826517741,post
2025-06-01,8,0.6633761269705636,post
2025-06-02,13,0.4257004112005234,post
2025-06-03,23,0.7009932561354204,post
2025-06-04,13,0.598481684923172,post
2025-06-05,80,0.7002459779570375,post
2025-06-06,4,0.668193499247233,post
2025-06-08,32,0.6807745656659526,post
2025-06-09,20,0.5567008696104351,post
2025-06-10,43,0.8362935185432434,post
2025-06-11,7,0.3669896423816681,post
2025-06-12,3,0.27452951669692993,post
2025-06-13,2,0.3949720859527588,post
2025-06-15,34,0.78670723510511,post
2025-06-16,127,0.6012559708148714,post
2025-06-17,124,0.6876205816501524,post
2025-06-18,84,0.5583508589181555,post
2025-06-19,30,0.46888771550408725,post
2025-06-20,4,0.4085061550140381,post
2025-06-21,3,0.4069651961326599,post
2025-06-22,22,0.8030470325833275,post
2025-06-23,62,0.7121979408576841,post
2025-06-24,26,0.5162196397781372,post
2025-06-25,136,0.5125474894488299,post
2025-06-26,15,0.5103294083050319,post
2025-06-27,83,0.5899701452836758,post
2025-06-28,9,0.39802810922265053,post
2025-06-29,38,0.729846090883822,post
2025-06-30,60,0.538965063580012,post
2025-07-01,58,0.6316646609389991,post
2025-07-02,4,0.496606985727946,post
2025-07-03,64,0.6714259556361607,post
2025-07-04,79,0.5641543590105497,post
2025-07-05,2,0.29457569122314453,post
2025-07-06,1,,post
2025-07-07,1,,post
2025-07-08,6,0.33362276554107667,post
2025-07-09,65,0.853126909583807,post
2025-07-10,30,0.517367071118848,post
2025-07-11,55,0.6787627758803191,post
2025-07-13,2,0.6177878379821777,post
2025-07-14,4,0.4578140576680501,post
2025-07-15,28,0.5531003386886032,post
2025-07-16,101,0.7212081909179687,post
2025-07-17,13,0.5698789407809576,post
2025-07-18,86,0.5418963039622587,post
2025-07-19,2,0.5648901462554932,post
2025-07-20,1,,post
2025-07-21,6,0.4167050838470459,post
2025-07-22,42,0.714498659459556,post
2025-07-23,2,0.7858319282531738,post
2025-07-24,32,0.7381110652800529,post
2025-07-25,61,0.716398736834526,post
2025-07-26,2,0.8984031677246094,post
2025-07-28,6,0.46689572334289553,post
2025-07-29,6,0.5334546327590942,post
2025-07-30,10,0.5139908128314548,post
2025-07-31,51,0.5881974923610688,post
2025-08-01,10,0.5651006698608398,post
2025-08-03,13,0.7488952577114105,post
2025-08-04,30,0.654705236698019,post
2025-08-05,16,0.5461348215738933,post
2025-08-06,45,0.7324267300692472,post
2025-08-07,6,0.5376916646957397,post
2025-08-08,37,0.6134443812900119,post
2025-08-09,9,0.4918498694896698,post
2025-08-10,8,0.5345125198364258,post
2025-08-11,6,0.45146751403808594,post
2025-08-12,125,0.6301225356517299,post
2025-08-13,35,0.6720597235595479,post
2025-08-14,6,0.49245395660400393,post
2025-08-15,1,,post
2025-08-17,10,0.6341893408033583,post
2025-08-18,34,0.4969441493352254,post
2025-08-19,16,0.4402084986368815,post
2025-08-20,12,0.43614621595902875,post
2025-08-21,6,0.686369514465332,post
2025-08-22,9,0.7179321944713593,post
2025-08-23,4,0.8467737038930258,post
2025-08-24,1,,post
2025-08-25,4,0.5543169975280762,post
2025-08-26,60,0.6426821159104169,post
2025-08-27,5,0.6134280413389206,post
2025-08-28,10,0.44680896070268417,post
2025-08-29,18,0.4311302900314331,post
2025-08-30,3,0.4924581050872803,post
2025-08-31,3,0.3451421558856964,post
2025-09-01,81,0.5364055924117566,post
2025-09-02,51,0.5636269164085388,post
2025-09-03,65,0.5277632772922516,post
2025-09-04,58,0.5683174426095527,post
2025-09-05,102,0.5356937493428146,post
2025-09-06,2,0.43647050857543945,post
2025-09-07,3,0.3954577147960663,post
2025-09-08,57,0.5620555090052741,post
2025-09-09,79,0.7009650468826294,post
2025-09-10,40,0.5082899240347055,post
2025-09-11,155,0.5063850322327057,post
2025-09-12,18,0.4900359546436983,post
2025-09-13,16,0.4905466715494792,post
